BK006934.2	CP006105.2
BK006935.2	CP004488.2
BK006936.2	CP004578.2
BK006937.2	CP006317.1
BK006938.2	CP004738.2
BK006939.2	CP004833.2
BK006940.2	CP004968.2
BK006941.2	CP005272.2
BK006942.2	CP005061.2
BK006943.2	CP005174.1
BK006944.2	CP005369.2
BK006945.2	CP006421.1
BK006946.2	CP005470.2
BK006947.3	CP005572.1
BK006948.2	CP005666.2
BK006949.2	CP006197.2
